="Table 2: Main Results"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="recorded_answer",="recorded_accurate",="recorded_answer",="recorded_accurate",="recorded_answer",="recorded_accurate",="recorded_answer",="recorded_accurate"
="ckw",="-0.101***",="-0.102***",="-0.154***",="-0.137***",="-0.165***",="-0.138***",="-0.170***",="-0.153***"
="",="(0.022)",="(0.019)",="(0.032)",="(0.031)",="(0.036)",="(0.027)",="(0.038)",="(0.026)"
="ckw_local",="",="",="0.079**",="0.066",="",="",="",=""
="",="",="",="(0.030)",="(0.044)",="",="",="",=""
="ckw_sense",="",="",="0.079",="0.047",="",="",="",=""
="",="",="",="(0.067)",="(0.045)",="",="",="",=""
="data_local",="",="",="0.515***",="0.204***",="",="",="",=""
="",="",="",="(0.012)",="(0.030)",="",="",="",=""
="data_sense",="",="",="0.176***",="0.029",="",="",="",=""
="",="",="",="(0.029)",="(0.026)",="",="",="",=""
="educationlevel",="",="",="-0.052***",="-0.045***",="-0.076***",="-0.056***",="-0.075***",="-0.054***"
="",="",="",="(0.014)",="(0.014)",="(0.017)",="(0.011)",="(0.016)",="(0.010)"
="gender_enum",="",="",="-0.009",="0.003",="",="",="",=""
="",="",="",="(0.015)",="(0.016)",="",="",="",=""
="samegender",="",="",="0.004",="-0.001",="-0.001",="-0.006",="-0.003",="-0.009"
="",="",="",="(0.018)",="(0.022)",="(0.032)",="(0.027)",="(0.033)",="(0.027)"
="samevillage",="",="",="-0.045*",="-0.042**",="-0.074**",="-0.056**",="-0.073**",="-0.056**"
="",="",="",="(0.024)",="(0.019)",="(0.029)",="(0.021)",="(0.029)",="(0.021)"
="age_enum",="",="",="0.002",="0.002",="0.001",="0.001",="0.001",="0.001"
="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.002)"
="how_well_know",="",="",="-0.005",="-0.007",="-0.004",="-0.004",="-0.004",="-0.004"
="",="",="",="(0.007)",="(0.006)",="(0.007)",="(0.007)",="(0.007)",="(0.007)"
="incomplete",="",="",="-0.231***",="-0.323***",="-0.128***",="-0.258***",="-0.130***",="-0.259***"
="",="",="",="(0.023)",="(0.024)",="(0.018)",="(0.018)",="(0.018)",="(0.018)"
="female_resp",="",="",="",="",="0.096**",="0.080**",="0.094**",="0.061"
="",="",="",="",="",="(0.038)",="(0.031)",="(0.045)",="(0.044)"
="female_enum",="",="",="",="",="-0.022",="-0.019",="-0.040",="-0.044**"
="",="",="",="",="",="(0.031)",="(0.014)",="(0.034)",="(0.022)"
="female_respenum",="",="",="",="",="-0.003",="0.008",="0.017",="0.041"
="",="",="",="",="",="(0.067)",="(0.052)",="(0.071)",="(0.064)"
="ckw_female_resp",="",="",="",="",="",="",="-0.001",="0.023"
="",="",="",="",="",="",="",="(0.041)",="(0.044)"
="ckw_female_enum",="",="",="",="",="",="",="0.041",="0.048*"
="",="",="",="",="",="",="",="(0.038)",="(0.026)"
="ckw_female_respenum",="",="",="",="",="",="",="-0.058",="-0.067"
="",="",="",="",="",="",="",="(0.049)",="(0.055)"
="_cons",="0.475***",="0.330***",="0.530***",="0.434***",="0.658***",="0.471***",="0.664***",="0.486***"
="",="(0.012)",="(0.012)",="(0.074)",="(0.069)",="(0.099)",="(0.070)",="(0.105)",="(0.071)"
="adj. R-sq",="0.01",="0.01",="0.15",="0.09",="0.04",="0.08",="0.04",="0.08"
="Controls Included?",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Mean of Dependent Variable for IPA Surveyors",="0.475",="0.330",="0.475",="0.330",="0.475",="0.330",="0.475",="0.330"
="No. of Observations",="21078",="21078",="21078",="21078",="21078",="21078",="21078",="21078"
="Dependent Variable:",="Recorded an Answer",="Recorded Answer is Accurate = 1",="Recorded an Answer",="Recorded Answer is Accurate = 1",="Recorded an Answer",="Recorded Answer is Accurate = 1",="Recorded an Answer",="Recorded Answer is Accurate = 1"
="Sample Frane:",="Attempted Questions",="Completed Questions",="Attempted Questions",="Completed Questions",="Attempted Questions",="Completed Questions",="Attempted Questions",="Completed Questions"
="Unit of Observation:",="Question on Attempted Survey for Which We Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Completed Question on Attempted Survey for Which We Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Question on Attempted Survey for Which We Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Completed Question on Attempted Survey for Which We Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Question on Attempted Survey for Which We Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Completed Question on Attempted Survey for Which We Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Question on Attempted Survey for Which We Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Completed Question on Attempted Survey for Which We Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data"
="Notes. Standard errors clustered at the enumerator level in parentheses. Local knowledge data is data that can be collected outside of house" & CHAR(44) & "  while sensitive data is private information that is collected inside house (neutral is between the two)."
="Non-sensitive data source category includes ACTED" & CHAR(44) & "  Forestry" & CHAR(44) & "  and NRC data sources" & CHAR(44) & "  neutral data source is Bednet and D2D" & CHAR(44) & "  while sensitive data source includes Condoms and Loan data sources."
="* significant at 10% ** significant at 5% *** significant at 1%."
