="Table 2: Main Results"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="propComplete",="completeness",="showconsentform",="politescale",="trustscale",="enter",="auditerror_score"
="ckw",="-0.390***",="0.001",="0.102",="0.371*",="0.254",="-0.189",="7.345***"
="",="(0.117)",="(0.011)",="(0.118)",="(0.186)",="(0.238)",="(0.184)",="(2.346)"
="educationlevel",="-0.133",="0.021**",="0.106",="0.235",="0.164",="0.101",="1.986"
="",="(0.083)",="(0.008)",="(0.072)",="(0.157)",="(0.167)",="(0.123)",="(1.310)"
="gender_enum",="-0.020",="-0.002",="-0.057",="-0.077",="0.014",="-0.015",="0.143"
="",="(0.060)",="(0.004)",="(0.051)",="(0.071)",="(0.103)",="(0.060)",="(1.178)"
="age_enum",="0.013***",="-0.000",="0.005",="0.008",="0.003",="0.010",="-0.200**"
="",="(0.004)",="(0.001)",="(0.003)",="(0.008)",="(0.007)",="(0.007)",="(0.098)"
="samegender",="",="-0.001",="-0.063",="-0.082",="-0.154",="-0.064",="-1.898"
="",="",="(0.003)",="(0.060)",="(0.089)",="(0.110)",="(0.054)",="(1.386)"
="samevillage",="",="0.003",="-0.006",="-0.252*",="-0.099",="0.013",="-1.066"
="",="",="(0.005)",="(0.074)",="(0.130)",="(0.139)",="(0.097)",="(2.802)"
="how_well_know",="",="0.001",="0.032*",="0.016",="0.004",="0.021",="-0.516"
="",="",="(0.001)",="(0.017)",="(0.044)",="(0.042)",="(0.030)",="(0.624)"
="_cons",="0.831***",="0.879***",="0.430",="3.591***",="3.959***",="0.398",="4.376"
="",="(0.288)",="(0.034)",="(0.268)",="(0.567)",="(0.569)",="(0.446)",="(4.430)"
="adj. R-sq",="0.27",="0.11",="-0.00",="0.01",="-0.02",="0.06",="0.04"
="Mean of Dependent Variable for IPA Surveyors",="0.777",="0.937",="0.877",="4.469",="4.469",="0.950",="3.793"
="No. of Observations",="50",="2063",="174",="174",="174",="173",="199"
="Dependent Variable:",="Proportion of Completed Survey",="Completeness Rate",="Showed Consent Form?",="Politeness Scale",="Trust Scale",="Did enum ask to enter home",="Error Severity Score"
="Sample Frame:",="Attempted Survey",="Attempted Survey",="Attempted Survey",="Attempted Survey",="Attempted Survey",="Attempted Survey",="Attempted Survey"
="Unit of Observation:",="Enumerator Level",="Survey Level",="Survey Level",="Survey Level",="Survey Level",="Survey Level",="Survey Level"
="Notes. Standard errors (clustered by enumerator if at the survey level) in parentheses."
="* significant at 10% ** significant at 5% *** significant at 1%."
