="Table?: OLS Regression Analysis by Among-CKW Heterogeneity"
="",="(1)",="(2)"
="",="recorded_answer",="recorded_accurate"
="educationlevel",="-0.073***",="-0.052***"
="",="(0.018)",="(0.015)"
="gender_enum",="0.021",="-0.006"
="",="(0.028)",="(0.022)"
="age_enum",="0.001",="0.002"
="",="(0.003)",="(0.001)"
="samegender",="-0.059**",="-0.056*"
="",="(0.024)",="(0.033)"
="samevillage",="-0.070**",="-0.008"
="",="(0.030)",="(0.030)"
="how_well_know",="-0.006",="0.002"
="",="(0.007)",="(0.010)"
="incomplete",="-0.191***",="-0.607***"
="",="(0.039)",="(0.041)"
="_cons",="0.549***",="0.735***"
="",="(0.119)",="(0.053)"
="adj. R-sq",="0.02",="0.18"
="Mean of Dependent Variable for IPA Surveyors",="",=""
="No. of Observations",="10820",="4042"
="Dependent Variable:",="Recorded an Answer",="Recorded Answer is Accurate = 1"
="Sample Frame:",="Attempted Questions",="Completed Questions"
="Unit of Observation:",="Question on Attempted Survey" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Completed Question" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data"
="Notes. Standard errors clustered at the enumerator level in parentheses. Local knowledge data is data that can be collected outside of house" & CHAR(44) & "  while sensitive data is private information that is collected inside house (neutral is between the two)."
="Non-sensitive data source category includes ACTED" & CHAR(44) & "  Forestry" & CHAR(44) & "  and NRC data sources" & CHAR(44) & "  neutral data source is Bednet and D2D" & CHAR(44) & "  while sensitive data source includes Condoms and Loan data sources."
="* significant at 10% ** significant at 5% *** significant at 1%."
