="Table?: OLS Regression Heterogeneous Analysis by Whether Enumerators Know Respondnets with Data Source by Sensitivity"
="",="(1)",="(2)"
="",="recorded_answer",="recorded_accurate"
="know_local",="0.016",="0.145**"
="",="(0.031)",="(0.071)"
="know_sense",="-0.237***",="-0.106**"
="",="(0.061)",="(0.046)"
="data_local",="0.591***",="-0.129**"
="",="(0.031)",="(0.059)"
="data_sense",="0.383***",="-0.023"
="",="(0.067)",="(0.038)"
="knowresp",="0.015",="-0.014"
="",="(0.022)",="(0.021)"
="educationlevel",="-0.049***",="-0.058***"
="",="(0.016)",="(0.017)"
="gender_enum",="-0.027",="0.004"
="",="(0.021)",="(0.021)"
="samegender",="-0.024",="-0.057*"
="",="(0.021)",="(0.032)"
="samevillage",="-0.040",="-0.008"
="",="(0.028)",="(0.029)"
="age_enum",="0.002",="0.002"
="",="(0.002)",="(0.001)"
="incomplete",="-0.230***",="-0.579***"
="",="(0.029)",="(0.050)"
="_cons",="0.391***",="0.792***"
="",="(0.081)",="(0.058)"
="adj. R-sq",="0.17",="0.19"
="Mean of Dependent Variable for IPA Surveyors",="",=""
="No. of Observations",="10820",="4042"
="Dependent Variable:",="Recorded an Answer",="Recorded Answer is Accurate = 1"
="Sample Frame:",="Attempted Questions",="Completed Questions"
="Unit of Observation:",="Question on Attempted Survey" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Completed Question" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data"
="Notes. Standard errors clustered at the enumerator level in parentheses. Local knowledge data is data that can be collected outside of house" & CHAR(44) & "  while sensitive data is private information that is collected inside house (neutral is between the two)."
="Non-sensitive data source category includes ACTED" & CHAR(44) & "  Forestry" & CHAR(44) & "  and NRC data sources" & CHAR(44) & "  neutral data source is Bednet and D2D" & CHAR(44) & "  while sensitive data source includes Condoms and Loan data sources."
=" 'Know Respondents' indicates that enumerators either 1)I know who this person is" & CHAR(44) & "  or" & CHAR(44) & "  I have seen them before" & CHAR(44) & "  2) This person is an acquaintance; for example" & CHAR(44) & "  I interact with him/her once in awhile" & CHAR(44) & " "
="3)I know this person a fair amount" & CHAR(44) & "  or 4)I know this person very well--this includes close relatives" & CHAR(44) & "  good friends."
="* significant at 10% ** significant at 5% *** significant at 1%."
