="Table 2: Main Results"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="recorded_answer",="recorded_accurate",="recorded_answer",="recorded_accurate",="recorded_answer",="recorded_accurate",="recorded_answer",="recorded_accurate"
="ckw",="-0.101***",="-0.085***",="-0.154***",="-0.144***",="-0.165***",="-0.123***",="-0.170***",="-0.176***"
="",="(0.022)",="(0.022)",="(0.032)",="(0.034)",="(0.036)",="(0.037)",="(0.038)",="(0.039)"
="ckw_local",="",="",="0.079**",="0.099*",="",="",="",=""
="",="",="",="(0.030)",="(0.053)",="",="",="",=""
="ckw_sense",="",="",="0.079",="0.016",="",="",="",=""
="",="",="",="(0.067)",="(0.037)",="",="",="",=""
="data_local",="",="",="0.515***",="-0.161***",="",="",="",=""
="",="",="",="(0.012)",="(0.038)",="",="",="",=""
="data_sense",="",="",="0.176***",="-0.087***",="",="",="",=""
="",="",="",="(0.029)",="(0.031)",="",="",="",=""
="educationlevel",="",="",="-0.052***",="-0.051***",="-0.076***",="-0.051***",="-0.075***",="-0.051***"
="",="",="",="(0.014)",="(0.016)",="(0.017)",="(0.016)",="(0.016)",="(0.013)"
="gender_enum",="",="",="-0.009",="0.008",="",="",="",=""
="",="",="",="(0.015)",="(0.016)",="",="",="",=""
="samegender",="",="",="0.004",="-0.006",="-0.001",="0.007",="-0.003",="0.001"
="",="",="",="(0.018)",="(0.020)",="(0.032)",="(0.041)",="(0.033)",="(0.042)"
="samevillage",="",="",="-0.045*",="-0.011",="-0.074**",="-0.009",="-0.073**",="-0.010"
="",="",="",="(0.024)",="(0.028)",="(0.029)",="(0.030)",="(0.029)",="(0.030)"
="age_enum",="",="",="0.002",="0.002*",="0.001",="0.002*",="0.001",="0.002"
="",="",="",="(0.002)",="(0.001)",="(0.002)",="(0.001)",="(0.003)",="(0.001)"
="how_well_know",="",="",="-0.005",="-0.001",="-0.004",="0.001",="-0.004",="0.002"
="",="",="",="(0.007)",="(0.009)",="(0.007)",="(0.009)",="(0.007)",="(0.009)"
="incomplete",="",="",="-0.231***",="-0.553***",="-0.128***",="-0.566***",="-0.130***",="-0.565***"
="",="",="",="(0.023)",="(0.031)",="(0.018)",="(0.026)",="(0.018)",="(0.025)"
="female_resp",="",="",="",="",="0.096**",="0.049",="0.094**",="-0.019"
="",="",="",="",="",="(0.038)",="(0.041)",="(0.045)",="(0.047)"
="female_enum",="",="",="",="",="-0.022",="0.014",="-0.040",="-0.027"
="",="",="",="",="",="(0.031)",="(0.028)",="(0.034)",="(0.038)"
="female_respenum",="",="",="",="",="-0.003",="-0.026",="0.017",="0.047"
="",="",="",="",="",="(0.067)",="(0.069)",="(0.071)",="(0.081)"
="ckw_female_resp",="",="",="",="",="",="",="-0.001",="0.100**"
="",="",="",="",="",="",="",="(0.041)",="(0.041)"
="ckw_female_enum",="",="",="",="",="",="",="0.041",="0.056"
="",="",="",="",="",="",="",="(0.038)",="(0.035)"
="ckw_female_respenum",="",="",="",="",="",="",="-0.058",="-0.093"
="",="",="",="",="",="",="",="(0.049)",="(0.065)"
="_cons",="0.475***",="0.696***",="0.530***",="0.877***",="0.658***",="0.797***",="0.664***",="0.840***"
="",="(0.012)",="(0.010)",="(0.074)",="(0.060)",="(0.099)",="(0.073)",="(0.105)",="(0.071)"
="adj. R-sq",="0.01",="0.01",="0.15",="0.17",="0.04",="0.16",="0.04",="0.16"
="Controls Included?",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Mean of Dependent Variable for IPA Surveyors",="0.475",="0.696",="0.475",="0.696",="0.475",="0.696",="0.475",="0.696"
="No. of Observations",="21078",="8911",="21078",="8911",="21078",="8911",="21078",="8911"
="Dependent Variable:",="Recorded an Answer",="Recorded Answer is Accurate = 1",="Recorded an Answer",="Recorded Answer is Accurate = 1",="Recorded an Answer",="Recorded Answer is Accurate = 1",="Recorded an Answer",="Recorded Answer is Accurate = 1"
="Sample Frame:",="Attempted Questions",="Completed Questions",="Attempted Questions",="Completed Questions",="Attempted Questions",="Completed Questions",="Attempted Questions",="Completed Questions"
="Unit of Observation:",="Question on Attempted Survey" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Completed Question" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Question on Attempted Survey" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Completed Question" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Question on Attempted Survey" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Completed Question" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Question on Attempted Survey" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data",="Completed Question" & CHAR(44) & "  for Which We Also Have " & CHAR(34) & "Truth" & CHAR(34) & " from Administrative Data"
="Notes. Standard errors clustered at the enumerator level in parentheses. Local knowledge data is data that can be collected outside of house" & CHAR(44) & "  while sensitive data is private information that is collected inside house (neutral is between the two)."
="Non-sensitive data source category includes ACTED" & CHAR(44) & "  Forestry" & CHAR(44) & "  and NRC data sources" & CHAR(44) & "  neutral data source is Bednet and D2D" & CHAR(44) & "  while sensitive data source includes Condoms and Loan data sources."
="* significant at 10% ** significant at 5% *** significant at 1%."
